Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Pontuação,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
25,105436,Carrascal,FLA,Meia,visitante,17.7,,4.0,1.0,3.0,4.0,2.0,,2.0,,,,,,,,,,,,
25,105531,Matheus Bidu,COR,Lateral,mandante,5.4,,5.0,1.0,2.0,3.0,,,,,,,,,,,,,,,
25,105568,Lucero,FOR,Atacante,mandante,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,
25,105786,Talles Magno,COR,Atacante,mandante,1.4,,1.0,,2.0,1.0,,,,,,,,,,,,,,,
25,105807,Luan Freitas,JUV,Zagueiro,mandante,1.7,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
25,105990,Santiago Mingo,BAH,Zagueiro,mandante,4.7,,,,1.0,,,1.0,,,,,,,,,,,,,
25,106082,Ewerthon,JUV,Lateral,mandante,1.7,,1.0,,1.0,,2.0,,,,1.0,,,,,,,,,,
25,106147,Thiago Carpini,JUV,Técnico,mandante,3.31,,,,,,,,,,,,,,,,,,,,
25,106681,Léo Pereira,SPT,Atacante,visitante,1.4,,4.0,,2.0,,,,,,,,,,,,,,,,
25,106708,Igor Formiga,JUV,Lateral,mandante,5.7,,2.0,,2.0,3.0,1.0,,,,,,,,,,,,,,
25,106822,Rodrigo Nestor,BAH,Meia,mandante,1.0,,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
25,106918,Paulo Baya,CEA,Atacante,visitante,1.5,,,,,1.0,,,,,,,,,,,,,,,
25,107093,Luciano Juba,BAH,Lateral,mandante,6.5,,,,,1.0,,1.0,,,,,,,,,,,,,
25,107173,Michel Araújo,BAH,Meia,mandante,1.7,1.0,1.0,,,,,,,,,,,,,,,,,,
25,107174,Bruno Tabata,INT,Meia,visitante,-0.3,,,,1.0,,,,,,,,,,,,,,,,
25,107183,Léo Linck,BOT,Goleiro,visitante,-0.7,,,,,,,,,,,1.0,2.0,,,,,,,,
25,107236,Vanderlan,RBB,Lateral,mandante,1.7,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
25,107516,Ênio,JUV,Atacante,mandante,12.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,
25,107554,Natanael,CAM,Lateral,mandante,5.8,,,,,,1.0,1.0,,,,,,,,,,,,,
